dealership_id,dealership_name,dealership_type,dealership_state,doc_fee,destination_fee,sales_tax_rate,registration_fee,regional_adjustment
1,Craig Group Motors,Franchised,PA,355.77,2483.1,0.0634,70.2,0.97
2,"Erickson, Miller and Mccoy Motors",Franchised,WV,155.82,2353.4,0.0655,202.9,0.9
3,Matthews Group Motors,Independent,WA,134.78,1063.57,0.0929,39.21,1.04
4,Trevino Ltd Motors,Franchised,VA,193.06,2122.49,0.0577,166.78,0.99
5,"White, Lewis and Gallagher Motors",Independent,TX,380.53,1440.88,0.082,140.8,0.98
6,Atkinson-Cobb Motors,Franchised,TX,423.77,2517.61,0.082,52.73,0.98
7,"Kelly, Gates and Williams Motors",Independent,CA,85.0,1680.5,0.0882,51.87,1.08
8,Duncan-Blake Motors,Independent,CT,482.89,1204.42,0.0635,97.89,1.01
9,Mcknight-Castro Motors,Independent,VA,243.59,2207.45,0.0577,185.46,0.99
10,"Wright, Perry and Zuniga Motors",Franchised,MD,391.89,2946.23,0.06,97.6,1.02
11,Best Ltd Motors,Independent,CA,85.0,2658.81,0.0882,146.8,1.08
12,Mccall Inc Motors,Franchised,DE,444.68,2409.14,0.0,29.39,0.97
13,Nichols-Rios Motors,Independent,OK,191.16,2970.44,0.0897,195.34,0.91
14,Robertson Ltd Motors,Independent,FL,933.24,1555.95,0.0701,150.32,1.02
15,"Cunningham, Reeves and Thompson Motors",Independent,TX,245.93,1710.54,0.082,157.39,0.98
16,Hernandez PLC Motors,Franchised,TX,380.73,2218.26,0.082,55.08,0.98
17,"Jimenez, Mcdowell and Vargas Motors",Franchised,NY,391.65,1924.52,0.0852,75.34,1.05
18,Olsen-Sloan Motors,Franchised,NC,470.16,2369.23,0.0698,192.78,0.97
19,Key-Watts Motors,Franchised,OH,410.4,2643.61,0.0724,185.03,0.96
20,White and Sons Motors,Franchised,NY,260.47,1421.97,0.0852,213.3,1.05
21,"George, Gonzalez and Smith Motors",Independent,MA,450.55,1425.25,0.0625,122.34,1.01
22,"Taylor, Bradford and Wiley Motors",Independent,TX,453.87,1285.74,0.082,48.62,0.98
23,"Jackson, Morrison and Ruiz Motors",Independent,NY,398.0,2494.03,0.0852,107.83,1.05
24,Johnson-Sanders Motors,Independent,PA,333.41,1438.64,0.0634,224.5,0.97
25,Lopez-Cohen Motors,Franchised,OH,303.81,2511.56,0.0724,196.53,0.96
26,Hunt Inc Motors,Franchised,MN,161.14,2584.16,0.0749,106.54,0.95
27,"Newman, Phelps and Clark Motors",Independent,FL,531.76,2191.78,0.0701,115.95,1.02
28,Nash LLC Motors,Franchised,NC,200.57,2360.57,0.0698,43.48,0.97
29,"Gonzalez, Ryan and Byrd Motors",Independent,VA,453.92,2537.2,0.0577,89.74,0.99
30,Anderson-Thompson Motors,Independent,CA,85.0,1869.53,0.0882,113.01,1.08
31,"Lambert, Burke and Scott Motors",Independent,MA,481.53,2943.78,0.0625,176.2,1.01
32,Bennett and Sons Motors,Franchised,TX,303.07,2741.04,0.082,81.18,0.98
33,"Carter, Winters and Walls Motors",Franchised,CA,85.0,1305.68,0.0882,176.31,1.08
34,Davis-House Motors,Franchised,WV,315.75,2197.89,0.0655,120.16,0.9
35,Rodriguez-Martinez Motors,Independent,ME,144.75,2757.44,0.055,190.49,0.95
36,"Donovan, Gonzalez and Myers Motors",Franchised,LA,223.01,1481.74,0.0955,136.31,0.94
37,"Stanton, Reynolds and Walton Motors",Independent,NY,131.5,2632.05,0.0852,220.49,1.05
38,"Williams, Jackson and Johnson Motors",Franchised,CA,85.0,1256.78,0.0882,117.43,1.08
39,Hays-Barrett Motors,Independent,MO,319.92,2055.35,0.083,144.35,0.95
40,Hoffman-Buchanan Motors,Franchised,OH,485.75,2425.9,0.0724,101.79,0.96
41,Aguirre Inc Motors,Independent,TX,368.67,1876.2,0.082,126.1,0.98
42,Cunningham Group Motors,Franchised,GA,148.4,1128.05,0.0737,24.31,0.98
43,"Gonzales, Parker and Christensen Motors",Franchised,CA,85.0,2176.88,0.0882,21.47,1.08
44,Williams-Mendoza Motors,Franchised,KS,383.14,1457.88,0.087,205.61,0.92
45,Mayer-Martin Motors,Franchised,FL,929.82,2028.31,0.0701,77.09,1.02
46,"Bridges, Beard and Simpson Motors",Franchised,WI,294.17,2446.71,0.0543,200.89,0.94
47,Norton-Cruz Motors,Franchised,NY,330.48,2569.24,0.0852,185.54,1.05
48,"Livingston, Hoffman and Salazar Motors",Franchised,NC,176.16,2317.97,0.0698,92.63,0.97
49,Garcia-Dalton Motors,Franchised,MI,264.44,2346.73,0.06,221.75,0.95
50,"Weeks, Shields and Park Motors",Independent,TX,139.37,2456.43,0.082,184.12,0.98
51,Coleman-Smith Motors,Franchised,DE,143.71,1380.42,0.0,111.97,0.97
52,Smith-Mclaughlin Motors,Independent,AZ,268.75,1925.26,0.084,199.27,0.96
53,Warren LLC Motors,Franchised,NE,130.15,1101.18,0.0697,224.85,0.92
54,"Hardy, Rowe and Peterson Motors",Franchised,IA,434.41,2852.73,0.0694,193.98,0.93
55,"Castillo, Parker and Klein Motors",Independent,VA,166.52,1962.72,0.0577,197.25,0.99
56,Gray-Villa Motors,Franchised,UT,460.98,1757.95,0.0725,221.99,0.95
57,"Aguirre, Morgan and Chapman Motors",Independent,CA,85.0,2853.04,0.0882,180.95,1.08
58,"Owens, Griffith and Trevino Motors",Independent,FL,642.62,1309.59,0.0701,80.83,1.02
59,Jones and Sons Motors,Franchised,CA,85.0,2158.36,0.0882,131.15,1.08
60,Pennington-Macias Motors,Franchised,PA,399.19,1100.28,0.0634,117.74,0.97
61,"Love, Lawrence and Baker Motors",Franchised,IL,467.75,1113.76,0.0881,124.1,0.99
62,"Powell, Gonzalez and Gross Motors",Franchised,NY,440.54,2190.07,0.0852,158.42,1.05
63,Pace-Tucker Motors,Franchised,CO,194.08,2883.19,0.0777,136.78,0.98
64,"Nelson, Mullen and Combs Motors",Franchised,PA,331.57,2238.76,0.0634,105.94,0.97
65,"Obrien, Fox and Rogers Motors",Independent,NY,333.47,2869.41,0.0852,61.87,1.05
