loan_id,transaction_id,loan_amount,down_payment,loan_term_months,loan_interest_rate,monthly_payment,loan_type
1,2,6923.52,2609.31,84,0.0359,116.02,Lease
2,4,17945.98,2848.5,72,0.0209,155.53,Lease
3,5,5306.5,1080.76,72,0.0809,93.27,Purchase Loan
4,6,39078.56,7785.99,60,0.01,668,Purchase Loan
5,7,14221.01,1415.76,36,0.0259,411,Purchase Loan
6,8,17389.33,3790.64,60,0.0809,353.34,Purchase Loan
7,10,2695.85,1772.1,72,0.0809,47.39,Purchase Loan
8,11,11803.06,2110.15,36,0.0609,359.55,Purchase Loan
9,12,10960,1450.58,72,0.0209,162.1,Purchase Loan
10,13,14391.23,915.09,36,0.0809,451.57,Purchase Loan
11,14,13470.52,2556.35,72,0.0359,208.24,Purchase Loan
12,17,7162.16,2854.95,84,0.0609,104.94,Purchase Loan
13,19,37882.23,3017.05,60,0.0259,673.81,Purchase Loan
14,21,35880.95,5583.48,60,0.0209,362.49,Lease
15,22,14422.59,1639.95,48,0.0359,323.01,Purchase Loan
16,23,13050.75,1214.39,60,0.0609,252.85,Purchase Loan
17,24,4654.98,2028.17,72,0.0259,69.88,Purchase Loan
18,25,27385.19,2027.06,60,0.0609,530.58,Purchase Loan
19,28,13227.55,2729.96,36,0.0209,379.39,Purchase Loan
20,29,6910.81,917.28,36,0.0209,198.21,Purchase Loan
21,30,5432.55,2717.8,72,0.0259,81.55,Purchase Loan
22,31,27698.46,4509.2,60,0.0209,293.64,Lease
23,32,11248.35,788.27,60,0.0609,109.9,Lease
24,33,42852.51,7944.66,72,0.0109,615.12,Purchase Loan
25,34,11264.58,1180.59,72,0.0209,166.6,Purchase Loan
26,35,12389.23,1768.32,72,0.0609,86.79,Lease
27,36,22862.74,2755.96,60,0.0259,406.66,Purchase Loan
28,37,54223.09,4223.67,60,0.0209,461.53,Lease
29,38,1616.75,2294.61,72,0.0259,24.27,Purchase Loan
30,39,13900.52,2383.75,72,0.0609,122.73,Lease
31,40,375.62,1531.23,72,0.0609,6.24,Purchase Loan
32,41,36726.71,7934.07,72,0.0659,618.95,Purchase Loan
33,42,15438.84,1274.36,60,0.0609,299.12,Purchase Loan
34,43,30439.75,3004.22,72,0.0609,505.77,Purchase Loan
35,44,18425.95,7314.79,84,0.0359,248.4,Purchase Loan
36,45,70677.69,14708.73,36,0.0109,1996.44,Purchase Loan
37,46,21783.32,2776.58,48,0.0209,473.45,Purchase Loan
38,47,9604.15,4024.83,60,0.0609,186.08,Purchase Loan
39,48,13746.3,2236.08,72,0.0359,212.51,Purchase Loan
40,49,36383.22,3044.64,72,0.0809,639.52,Purchase Loan
41,50,30509.94,6898.68,72,0.0209,451.24,Purchase Loan
42,51,44341.83,8349.58,72,0.0659,747.28,Purchase Loan
43,52,5181.04,4895.01,72,0.0459,82.46,Purchase Loan
44,53,24440.02,5936.46,48,0.0809,597.69,Purchase Loan
45,54,32458.1,7648.58,72,0.0659,547.01,Purchase Loan
46,55,67409.68,13244.9,72,0.0209,525.65,Lease
47,56,9611.67,1646.35,72,0.021,142.2,Purchase Loan
48,57,24818.91,4485.19,84,0.036,334.69,Purchase Loan
49,58,30247.86,3349.92,48,0.011,644.42,Purchase Loan
50,59,11009.05,855.22,72,0.021,162.87,Purchase Loan
51,60,11176.91,1109.68,48,0.026,245.42,Purchase Loan
52,61,6031.15,1088.32,72,0.061,100.24,Purchase Loan
53,62,8616.01,1084.38,72,0.036,133.23,Purchase Loan
54,63,21763.49,1896.37,72,0.026,326.79,Purchase Loan
55,65,201.84,2435.83,60,0.026,153.86,Lease
56,66,30511.37,1705.87,60,0.026,542.84,Purchase Loan
57,67,61376.52,7968.15,72,0.01,878.64,Purchase Loan
58,68,7886.54,2698.92,84,0.026,102.79,Purchase Loan
59,69,16457.34,1247.27,48,0.061,77.77,Lease
60,70,56796.15,11388.42,60,0.021,998,Purchase Loan
61,71,12006.43,1029.28,72,0.061,97.98,Lease
62,72,22014.6,3963.52,60,0.021,154.73,Lease
63,73,13916.87,2513.52,72,0.061,125.38,Lease
64,74,9186.2,2071.64,72,0.036,142.05,Purchase Loan
65,75,3043.5,3978.77,72,0.021,45.03,Purchase Loan
66,76,1749.57,3440.32,72,0.021,25.88,Purchase Loan
67,77,955,1328.01,72,0.026,133.97,Lease
