transaction_id,sale_date,vehicle_id,customer_id,dealership_id,is_new_car,sale_price,total_price,payment_type,loan_id,trade_in_value,dealer_fees,incentive_value
1,1/1/2021,783,39367,3573,FALSE,38136.84,42162.16,Cash,0,0,440.96,0
2,1/1/2021,465,32149,10064,FALSE,17222.25,9532.84,Lease,1,9072.76,694.35,0
3,1/1/2021,53,56802,12341,FALSE,21724.21,23422.59,Cash,0,0,453.85,0
4,1/1/2021,4890,90383,4134,FALSE,18511.94,20794.48,Lease,2,0,363.45,0
5,1/1/2021,4956,80141,1550,FALSE,13767.86,4225.74,Loan,3,18213.56,156.94,4177.31
6,1/1/2021,115,73627,6287,TRUE,42355.06,46864.54,Loan,4,0,1625.56,0
7,1/1/2021,2652,21783,22318,FALSE,13976.58,15636.77,Loan,5,0,490.86,0
8,1/1/2021,3954,97000,3435,FALSE,19652.56,21179.97,Loan,6,0,262.56,0
9,1/1/2021,3306,32438,5621,FALSE,37018.56,40438.61,Cash,0,0,334.45,0
10,1/1/2021,4358,46780,24000,FALSE,10742.96,923.75,Loan,7,12158.5,350.02,0
11,1/1/2021,4296,46095,8510,FALSE,12311.44,13913.2,Loan,8,0,482.1,0
12,1/1/2021,1204,72419,21087,FALSE,26395.25,12410.58,Loan,9,15145.19,362.46,0
13,1/1/2021,347,15966,4172,FALSE,15157.77,13476.14,Loan,10,29129.08,377.91,0
14,1/1/2021,1884,64233,20760,FALSE,14863.43,16026.87,Loan,11,0,201.43,0
15,1/1/2021,4679,15763,2063,FALSE,34807.44,25361,Cash,0,12250.85,448.22,0
16,1/1/2021,4857,53931,17234,FALSE,22043.07,10664.79,Cash,0,12607.09,191,0
17,1/1/2021,2133,20481,17114,FALSE,21037.87,10017.12,Loan,12,12004.38,274.52,0
18,1/1/2021,4174,41710,24886,FALSE,21983.95,5526.92,Cash,0,17269.3,349.44,0
19,1/1/2021,3325,82953,16426,FALSE,37176.18,40899.27,Loan,13,0,450,0
20,1/1/2021,2563,15329,9540,FALSE,28576.59,30635.29,Cash,0,0,206.02,0
21,1/1/2021,1633,86681,16698,FALSE,38304.31,41464.43,Lease,14,0,200.51,0
22,1/1/2021,2449,99653,24327,FALSE,14328.97,16062.55,Loan,15,0,478.9,0
23,1/1/2021,820,75224,15759,FALSE,12696.47,14265.14,Loan,16,0,408.35,0
24,1/1/2021,2264,34378,21262,FALSE,18065,2626.8,Loan,17,20969.43,136.83,0
25,1/2/2021,2369,4536,5262,FALSE,26859.86,29412.26,Loan,18,0,265.64,0
26,1/2/2021,2904,90954,1035,FALSE,13962.97,4860.68,Cash,0,19043.27,85,0
27,1/2/2021,1943,94442,9823,FALSE,17892.72,19159.29,Cash,0,0,217.01,0
28,1/2/2021,4040,33853,24392,FALSE,17997.61,10497.58,Loan,19,29022.57,462.79,0
29,1/2/2021,708,84507,16486,FALSE,6648.69,7828.08,Loan,20,0,364.18,0
30,1/2/2021,4142,13558,5624,FALSE,16252.52,2714.75,Loan,21,19333.74,281.65,0
31,1/2/2021,39,94656,18985,FALSE,30004.09,32207.65,Lease,22,0,463.39,0
32,1/2/2021,4116,86252,17150,FALSE,14531.55,12036.62,Lease,23,3735.15,179.17,0
33,1/2/2021,4587,37030,1426,TRUE,60979.05,50797.17,Loan,24,15299.37,2421.28,0
34,1/2/2021,4135,23277,13654,FALSE,11278.82,12445.17,Loan,25,0,442.55,0
35,1/2/2021,4170,79368,13045,FALSE,12824.76,14157.54,Lease,26,0,275.94,0
36,1/2/2021,4653,21224,5719,FALSE,42702.36,25618.7,Loan,27,19282.59,85,0
37,1/2/2021,4749,49259,14691,FALSE,65327.72,58446.76,Lease,28,11377.4,129.61,0
38,1/2/2021,1619,9001,15770,FALSE,21236.27,677.86,Loan,29,21208.72,528.23,0
39,1/2/2021,4724,22530,7156,FALSE,14686.98,16284.27,Lease,30,0,377.74,0
40,1/2/2021,2329,80493,18133,FALSE,14392.77,1906.85,Loan,31,13113.95,471.77,0
41,1/2/2021,4399,2592,12746,TRUE,38193.82,44660.78,Loan,32,0,3658.03,0
42,1/2/2021,2188,81748,3974,FALSE,15534.89,16713.19,Loan,33,0,127.7,0
43,1/2/2021,2612,37525,16584,FALSE,30523.26,33443.97,Loan,34,0,422.01,0
44,1/2/2021,4833,15161,7218,FALSE,37058.16,25740.74,Loan,35,13281.39,487.77,0
45,1/2/2021,3352,33047,21834,TRUE,90046.91,85386.42,Loan,36,11711.25,2270.94,0
46,1/2/2021,4424,25913,6073,FALSE,22136.96,24559.9,Loan,37,0,404.41,0
47,1/2/2021,985,34149,3727,FALSE,26545.19,13628.99,Loan,38,14282.13,85,0
48,1/2/2021,3920,95400,12353,FALSE,14126.75,15982.39,Loan,39,0,742.34,4177.31
49,1/2/2021,864,63957,8924,FALSE,36060.04,39427.86,Loan,40,0,375.71,0
50,1/2/2021,1491,83046,12594,TRUE,44116.98,37408.62,Loan,41,11833.85,2744.1,0
51,1/2/2021,1782,81480,6481,TRUE,61273.32,52691.41,Loan,42,12754.64,1313.53,0
52,1/2/2021,3363,88364,19616,TRUE,21960.17,286.04,Loan,43,24440.55,1994.32,4177.31
53,1/2/2021,1194,5067,10866,FALSE,29844.04,30376.48,Loan,44,0,322.04,0
54,1/2/2021,4438,3281,18976,TRUE,45483.47,40106.68,Loan,45,7296.16,1833.44,0
55,1/2/2021,1904,41308,9871,TRUE,82595.2,80654.58,Lease,46,10019.17,1801.2,0
56,1/3/2021,2784,54717,22486,FALSE,9679.43,11258.02,Loan,47,0,448.17,0
57,1/3/2021,1567,36619,1281,FALSE,27171.34,29304.1,Loan,48,0,346.12,0
58,1/3/2021,2297,85532,18495,TRUE,30223.68,33597.78,Loan,49,0,1164.7,0
59,1/3/2021,3877,56249,10811,FALSE,10512.48,11864.27,Loan,50,0,130.12,0
60,1/3/2021,1482,48495,12647,FALSE,10699.57,12286.59,Loan,51,0,496.51,0
61,1/3/2021,4953,3076,16097,FALSE,16711.01,4942.83,Loan,52,22296.81,421,0
62,1/3/2021,4975,31097,16006,FALSE,20659.9,7531.63,Loan,53,29347.22,990.21,0
63,1/3/2021,3889,59866,6189,FALSE,21317.22,23659.85,Loan,54,0,454.64,0
64,1/3/2021,2337,44580,24414,FALSE,29865.51,3831.1,Cash,0,34082.88,186.72,0
65,1/3/2021,4657,46400,21204,FALSE,20371.2,2637.67,Lease,55,18301.95,373.16,0
66,1/3/2021,4973,54878,13826,FALSE,29123.73,32217.24,Loan,56,0,922.9,0
67,1/3/2021,251,36579,6437,TRUE,62260.56,69344.66,Loan,57,0,3282.15,0
68,1/3/2021,4955,15279,18916,FALSE,15713.39,10585.46,Loan,58,6247.09,221.99,0
69,1/3/2021,4549,90395,6102,FALSE,8085.07,15210.07,Lease,59,23475.68,137.13,4177.31
70,1/3/2021,1994,21766,1651,FALSE,62466.25,68184.57,Loan,60,0,85,0
71,1/3/2021,1027,25802,5177,FALSE,12391.69,13035.71,Lease,61,0,460.67,0
72,1/3/2021,4949,99411,11854,TRUE,21019.32,25978.12,Lease,62,0,2928.42,0
73,1/3/2021,533,91469,6920,FALSE,14932.84,16430.39,Lease,63,0,117.38,0
74,1/3/2021,922,31267,7796,FALSE,13699.11,7114.56,Loan,64,21043.27,85,0
75,1/3/2021,4097,64098,21829,TRUE,21276.01,935.27,Loan,65,23630.1,3090.92,0
76,1/3/2021,2123,68633,21646,FALSE,38446.96,5189.88,Loan,66,33880.2,156.03,0
77,1/3/2021,3393,54360,3974,FALSE,15830.52,2283.01,Lease,67,13909.01,127.7,0
78,1/3/2021,3324,30459,5463,FALSE,19963.51,3882.56,Loan,68,24135.94,85,0
79,1/3/2021,3761,70237,13962,FALSE,12570.81,1060.58,Loan,69,11838.11,232.59,4177.31
80,1/3/2021,242,30093,16307,FALSE,31703.75,12650.43,Loan,70,20465.37,263.42,0
81,1/3/2021,3830,99357,7479,TRUE,52517.29,39830.03,Lease,71,18160.23,3117.22,0
82,1/3/2021,2537,65379,17425,FALSE,31524.6,33840.48,Loan,72,0,292.94,0
83,1/3/2021,4054,74241,21040,FALSE,25253.14,27682.36,Loan,73,0,563.23,0
84,1/3/2021,4759,41680,19057,FALSE,41302.59,19218.54,Lease,74,23612.37,382.65,0
85,1/3/2021,2137,28997,19751,FALSE,10822.29,11681.52,Loan,75,0,191.35,0
86,1/3/2021,2524,53092,21836,FALSE,42903.95,29022.18,Loan,76,16079.41,454.82,0
87,1/3/2021,4623,14883,5349,FALSE,19087.49,20889.11,Loan,77,0,202.63,0
88,1/3/2021,916,11753,6333,FALSE,13181.3,378.3,Lease,78,13234.08,348.44,0
89,1/4/2021,2834,87968,23611,FALSE,15913.85,2587.17,Lease,79,13655.08,85,0
90,1/4/2021,1887,72138,15472,FALSE,30774.72,33899.62,Loan,80,0,460.24,0
91,1/4/2021,606,57906,6330,FALSE,16321.49,17944.71,Loan,81,0,85,0
92,1/4/2021,3979,48437,99,FALSE,15816.72,499.16,Loan,82,16586.21,85,0
93,1/4/2021,1566,32728,15514,FALSE,14521.45,6781,Loan,83,8562.19,302.87,0
94,1/4/2021,437,7955,16630,FALSE,36491.69,23982.5,Cash,0,14896.21,407.56,0
95,1/4/2021,4054,38566,15306,FALSE,26887.04,1253.54,Lease,84,28365.16,85,0
96,1/4/2021,2245,6589,10828,FALSE,19889.65,25342.81,Loan,85,45641.5,268.25,0
97,1/4/2021,2415,57039,5064,FALSE,17856.55,3172.87,Loan,86,15482.37,477.33,0
98,1/4/2021,1787,94326,5240,FALSE,18766.19,14004.25,Loan,87,33192.65,289.35,0
99,1/4/2021,4861,48651,4790,TRUE,39660,43855.89,Lease,88,0,1499.61,0
